k,t,U_1,U_2,V,W_1,W_2,X_1,X_2,X_est_1,X_est_2,X_est_3,X_est_4,X_est_5,X_est_6,Y,Y_m,Y_est_1,Y_est_2,Y_est_3,E_obs_1,E_obs_2,E_obs_3,Pd,alpha
508,254,1,0.00294179362732548,-0.00749111958220135,0,-0,-0.363714587603143,-1.06347831767031,-0.208816850245091,-1.03721879239655,-0.304751708481148,-1.00575218349681,-0.515182178398782,-1.15611705903273,-0.109114376280943,-0.116605495863144,-0.0626450550735272,-0.0914255125443444,-0.154554653519635,-0.0464693212074156,-0.0176888637365985,0.0454402772386917,-1.06347831767031,0
509,254.5,1,-0.00831735734081948,-0.0893900500855609,-0,-0,-0.318078528992513,-1.06053652404299,-0.212261126650467,-1.04207299648373,-0.343377450124893,-1.07585149683028,-0.447533449338901,-1.12847554269013,-0.095423558697754,-0.184813608783315,-0.0636783379951402,-0.103013235037468,-0.13426003480167,-0.0317452207026138,0.00758967633971395,0.0388364761039165,-1.06053652404299,0
510,255,1,0.0131833236730118,0.015025741959662,0,-0,-0.283191494337747,-1.06885388138381,-0.255466978642405,-1.05297015221405,-0.720017029419634,-1.30357801902079,-0.533947847217486,-1.16529789996191,-0.0849574483013241,-0.0699317063416622,-0.0766400935927215,-0.21600510882589,-0.160184354165246,-0.00831735470860265,0.131047660524566,0.0752269058639216,-1.06885388138381,0
511,255.5,1,-0.00857434982883724,-0.0582088197336338,-0,-0,-0.26708792742023,-1.0556705577108,-0.22820783833435,-1.05236667529029,-0.0865097088764094,-0.896919877878056,-0.374459896173888,-1.09955941737529,-0.0801263782260691,-0.138335197959703,-0.0684623515003051,-0.0259529126629228,-0.112337968852166,-0.011664026725764,-0.0541734655631462,0.0322115906260973,-1.0556705577108,0
512,256,1,0.0179813480042709,0.0846065861168919,0,-0,-0.242632106904957,-1.06424490753963,-0.249496340514701,-1.05865233663595,-0.512243269751759,-1.20978430397435,-0.409094721788887,-1.11849535370734,-0.072789632071487,0.0118169540454049,-0.0748489021544103,-0.153672980925528,-0.122728416536666,0.00205927008292334,0.0808833488540407,0.0499387844651792,-1.06424490753963,0
513,256.5,1,-0.0093487549513525,0.104419673724231,-0,0,-0.234087382373102,-1.04626355953536,-0.186930806323841,-1.05085600014893,0.248573872369947,-0.749071893716243,-0.159479723639212,-1.02049481062733,-0.0702262147119307,0.0341934590123007,-0.0560792418971522,0.074572161710984,-0.0478439170917637,-0.0141469728147785,-0.144798376422915,-0.0223822976201671,-1.04626355953536,0
514,257,1,-0.0264255038972364,-0.0355077161560621,-0,0,-0.210124727196533,-1.05561231448671,-0.133408820133597,-1.0427351970698,0.2256034251171,-0.861483379325162,0.0174879838215211,-0.960740191228125,-0.06303741815896,-0.0985451343150221,-0.0400226460400791,0.0676810275351301,0.00524639514645634,-0.0230147721188809,-0.13071844569409,-0.0682838133054164,-1.05561231448671,0
515,257.5,1,0.00861665389544372,0.108505404456003,0,-0,-0.202699623524288,-1.08203781838395,-0.167432749651236,-1.04799979642479,-0.524123774853746,-1.32424539374851,-0.137792119371471,-1.03634016326971,-0.0608098870572863,0.0476955173987164,-0.0502298248953707,-0.157237132456124,-0.0413376358114412,-0.0105800621619156,0.0964272453988375,-0.0194722512458451,-1.08203781838395,0
516,258,1,-0.0133359727200088,0.0220741129637067,0,0,-0.223927554850952,-1.07342116448851,-0.112809572042433,-1.03919057267038,0.320502388259493,-0.753727222526874,0.0295827530604701,-0.971489939668755,-0.0671782664552855,-0.0451041534915789,-0.0338428716127298,0.0961507164778478,0.00887482591814104,-0.0333353948425558,-0.163328982933133,-0.0760530923734266,-1.07342116448851,0
517,258.5,1,-0.00181750243169863,-0.0471049592538089,0,0,-0.230170452884173,-1.08675713720852,-0.124182414367338,-1.04020362148398,-0.2266694625608,-1.14697090599161,-0.0492281082699779,-1.01080730357486,-0.0690511358652519,-0.116156095119061,-0.0372547243102014,-0.06800083876824,-0.0147684324809934,-0.0317964115550506,-0.00105029709701188,-0.0542827033842585,-1.08675713720852,0
